34.7725," 113.7266,
1.2929," 103.8547,
34.7725," 113.7266,
14.667," -17.4445,
34.7725," 113.7266,
50.1188," 8.6843,
37.751," -97.822,
1.314," 103.6839,
48.8582," 2.3387,
48.8582," 2.3387,
12.9721," 77.5933,
-6.1741," 106.8296,
34.7725," 113.7266,
52.374," 4.8897,
52.6222," 16.4539,
-19.8975," -43.9625,
-23.63," -46.6322,
34.7725," 113.7266,
38.6583," -77.2481,
48.8582," 2.3387,
40.8364," -74.1403,
17.3846," 78.4574,
48.8582," 2.3387,
43.4631," 11.8783,
34.7725," 113.7266,
50.4543," 30.5251,
38.6583," -77.2481,
40.495," -111.4102,
26.5833," 106.7167,
48.8582," 2.3387,
24.6109," -107.3405,
34.7725," 113.7266,
31.3247," 75.5811,
39.9288," 116.3889,
37.3417," -121.9753,
34.7725," 113.7266,
4.6493," -74.0617,
34.7725," 113.7266,
34.7725," 113.7266,
31.0449," 121.4012,
1.2929," 103.8547,
45.5063," -73.5794,
43.4631," 11.8783,
51.2993," 9.491,
26.9204," 75.7882,
34.7545," 127.66,
33.9381," -84.4633,
13.7442," 100.4608,
10.8142," 106.6438,
34.7725," 113.7266,
47.4984," 19.0404,
34.7725," 113.7266,
45.4995," -73.5848,
48.8607," 2.3281,
49.405," 11.1617,
34.7725," 113.7266,
48.8582," 2.3387,
34.7725," 113.7266,
34.0549," -118.2578,
48.8582," 2.3387,
25.0478," 121.5318,
43.6547," -79.3623,
34.7725," 113.7266,
-23.9613," -46.391,
49.405," 11.1617,
48.8582," 2.3387,
36.1608," 0.9706,
1," 32,
50.1188," 8.6843,
51.4991," -0.5545,
34.7725," 113.7266,
34.7725," 113.7266,
38.6583," -77.2481,
37.3417," -121.9753,
48.8582," 2.3387,
40.8364," -74.1403,
56.7333," 37.1667,
-23.6575," -47.607,
48.8582," 2.3387,
34.7725," 113.7266,
34.0549," -118.2578,
43.9379," -79.4381,
34.7725," 113.7266,
12.9721," 77.5933,
53.3338," -6.2488,
13.086," 80.2751,
55.7527," 37.6172,
21.0313," 105.8516,
37.5985," 126.9783,
21.0313," 105.8516,
37.751," -97.822,
1.2929," 103.8547,
34.7725," 113.7266,
34.7725," 113.7266,
50.1188," 8.6843,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
43.6319," -79.3716,
40.8364," -74.1403,
34.7725," 113.7266,
